store_id,model_name,avg_wmape,avg_mae,avg_rmse,avg_bias,n_folds
192,xgboost,8.378953197889905,904.5494945919703,1212.987632882968,0.08945469384621686,3
198,xgboost,17.97473106324765,427.3937465047079,571.3944868248008,7.697906718687254,3
209,xgboost,11.76889066901064,656.6090609838093,891.2373124549541,-2.8377069295453494,3
262,xgboost,10.32682726185999,2269.055609809028,3831.720983201632,-5.444667866577027,3
299,xgboost,16.51808783691291,1143.5391167534724,1568.183504629976,-6.159244074928149,3
327,xgboost,9.750120379935575,655.5770134045964,926.6993299438878,-0.09617531565844988,3
335,xgboost,9.278586555738103,1293.7136462983633,1776.899647559486,-0.8927236444004164,3
343,xgboost,8.393672394731434,545.7837698800223,817.376202805424,-0.08641048825943987,3
474,xgboost,8.530829121502856,547.3127362160457,779.0221079867355,-1.0961816985862376,3
512,xgboost,8.96561679430117,588.3491675967263,734.945256621956,2.716353954607781,3
524,xgboost,10.107954834092501,753.1903969900949,1003.3366422731528,-1.7587606027096354,3
567,xgboost,10.416037859747073,439.9073348319719,712.594505692968,-1.1950656115525813,3
605,xgboost,9.99341455435457,623.3145396520221,870.0233990176986,-0.6507004200623386,3
663,xgboost,9.696141804377168,490.0211998697311,730.0089108408714,-0.7291713473985802,3
682,xgboost,8.288061769335412,963.1806950644841,1202.5515238848866,-0.9214018629415017,3
733,xgboost,5.485885950944428,843.4155660962302,1109.214309987811,1.2249103838788455,3
830,xgboost,9.72751176994655,519.0134970574152,912.3420767718684,-1.1068110068329762,3
897,xgboost,13.525459851461816,374.9463277761899,512.3475208581198,2.4144415356193147,3
1012,xgboost,11.078253883053085,550.3768303961981,807.6289279399717,0.4008222171420957,3
1033,xgboost,8.06345134642284,964.2097232303922,1331.0103569717196,-0.30235751971212316,3
1053,xgboost,7.553523650955976,559.7286449689714,864.7000606197698,0.1393990457929076,3
1097,xgboost,6.675035545115791,728.9678664434523,930.9143472253514,1.622163128507448,3
