model_name,avg_mae,avg_rmse,avg_mape,avg_wmape,avg_bias,n_evaluations
xgboost,672.4651027911303,913.3971590775317,11.139458408117084,10.50751281419963,-0.13606999186497726,66
random_forest,822.515562624689,1164.9808849657047,13.815411506910388,12.743200591684968,-0.17989034983109287,66
sarima,1265.2343000848925,1594.4243787026892,18.430234594373047,16.96963749626408,-1.708401912434981,66
holt_winters,1480.9287672518676,1839.3068005171315,21.345974041664004,19.686328187358576,-3.6490786384034015,66
seasonal_naive,1590.1712361712362,2044.0410135765583,22.47896791726455,21.509951335363027,-0.8924114977694807,66
naive,1753.45202020202,2150.4039546768204,28.535664641581672,23.226369994477338,-0.3833608995155039,66
moving_average_7,1837.1941867656155,2244.73188175464,29.12013941764602,24.52460326634137,-0.8924114977694793,66
